time,resonance
7.68,104.112442
7.68,103.842155
7.28,104.058273
7.28,103.950104
7.28,104.166672
7.28,104.275291
7.28,104.058273
7.2,103.950104
6.96,104.275291
6.88,104.166672
7.04,104.166672
7.2,104.058273
7.28,103.734444
7.36,103.950104
7.2,104.058273
7.2,104.166672
6.8,103.950104
6.32,103.734444
6.16,104.166672
6,103.842155
5.92,103.950104
5.92,104.275291
7.68,103.950104
7.6,103.950104
7.68,104.058273
7.6,103.950104
7.44,104.058273
7.44,103.842155
7.68,103.842155
7.6,103.842155
7.52,104.058273
7.52,104.275291
7.44,103.734444
6.88,103.950104
8.24,103.842155
8,104.166672
