time,resonance
6.559999,103.842155
7.52,103.412621
7.36,104.112442
6.32,103.519669
1.12,187.26593
7.04,103.734444
6.96,103.519669
0.96,2325.581543
0.88,213.675217
0.96,20000
0.96,196.463669
0.88,202.839767
0.88,180.180191
0.88,202.839767
0.88,186.915894
0.88,182.149368
0.96,201.20726
0.88,3448.275879
0.96,201.20726
0.96,2380.952393
0.88,200
0.96,185.873611
1.04,182.815369
0.96,191.20459
0.96,104.8218
0.96,104
0.96,185.873611
0.96,104
0.96,190.839706
0.88,199.203186
0.96,183.486237
0.96,199.6008
0.88,184.162064
0.96,187
0.88,187.26593
0.88,187
0.88,187
8.48,104.166672
8.4,104.38414
8.32,104.166672
8.4,104.275291
8.32,104.602509
8,104.166672
7.84,104.166672
7.84,104.275291
7.2,104.058273
6.88,104.49321
7.28,104.602509
6.88,104.166672
6.8,104.275291
7.68,104.058273
7.52,103.950104
7.599999,104.058273
7.28,104.8218
8,104.38414
6.96,104.49321
6.72,104.058273
0.96,104
6.16,103.092789
7.6,101.010101
7.28,104.166672
7.2,103.734444
8.24,104.058273
8.24,105.596619
8.32,103.305786
8.08,105.374077
8.24,103.519669
8.08,104.38414
8.24,103.896103
8.16,104.275291
0.88,104
7.6,103.734444
6.8,104.49321
